Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,–,2338.32,2149.7,2178.44,2100.47,1979.95,1930.24,1857.21,1776.14,1785.41,1803.14,1729.66,1630.94
Belgium,2158.03,2077.15,2058.18,2068.57,2027.6,2063.05,2097.96,2089.25,2202.59,2147.39,2009.38,1856.73,1651.32
Bulgaria,604.07,607.15,561.25,579.71,556.26,504.85,533.62,681.48,643.39,608.76,624,572.76,535.89
Croatia,682.78,699.99,694.33,678.24,658.72,307.84,283.28,314.5,370.26,402.33,328.95,282.97,319.48
Cyprus,150.68,111.34,116.31,153.3,156.81,130.45,117.84,151.31,151.08,137.25,109.05,83.73,78.78
Czech Republic,–,–,–,–,–,–,–,–,–,–,–,–,–
Denmark,3458.27,3379.44,3103.17,3050.22,3233.88,3458.26,3388.62,4354.26,4377.22,4255.81,4072.51,3796.05,3430.45
Estonia,2492.19,2283.75,2246.28,1972.4,1613.19,1677.01,1788.98,1895.74,1519.12,1406.91,1247.3,1195.71,865.03
European Union,1809.95,1805.35,1702.82,1641.14,1544.33,1514.26,1489.93,1522.43,1563.14,1523.85,1505.47,1456.49,1354.73
Finland,2711.5,2515.18,2384.14,2261.72,2241.66,2262.14,2329.77,1852.45,1862.57,1764.85,1864.37,1864.46,1770.96
France,1381.18,1377.21,1363.54,1335.59,1244.26,1205.43,1876.37,1862.34,1839.45,1846.84,1920,1958.27,1906.93
Germany,3043.35,2960.16,2750.23,2620.54,2565.5,2434.58,1516.39,1516.73,1586.66,1575.06,1595.92,1623.98,1657.23
Greece,618.84,509.99,556.95,627.3,727.57,818.42,888.86,1060.33,1157.96,1071.84,935.3,851.55,915.58
Hungary,1230.41,1279.66,1250.53,1217.22,1237.28,1185.42,1168.24,1340,1298.94,1308.44,1252.21,1081.33,–
Ireland,1432.08,1403.77,1400.65,1416.86,1404.98,1396.25,1401.79,1416.75,1431.01,1455.78,1527.83,1495.86,1481.55
Italy,2290.18,2513.49,1870.8,1938.17,1977.3,1674.24,1578.88,1584.25,1740.79,1785.59,1840.11,1876.2,1748.18
Latvia,1023.07,1389.41,1090.3,1062.43,904.45,1102.45,1278.37,1227.4,–,1047.62,1025.07,1034.41,983.86
Lithuania,857.27,862.87,826.08,754.92,707.87,840.33,895.59,849.55,889.05,778.32,771.17,738.69,699.03
Luxembourg,–,–,–,1403.3,1341.04,1376.48,1342.05,1421.18,1687.56,1735.84,1896.55,1843.24,–
Malta,2800.93,2904.36,2420.59,2164.83,2228.36,1999.79,1671.16,1885.39,2057.6,2090.97,2032.17,1962.54,2066.78
Netherlands,5308.21,4862.37,4641.57,4335.59,4160.05,4131.36,4111.36,3981.01,4012.5,3894.19,3835.56,3481.2,3214.78
Poland,733.01,748.77,724.98,650.18,570.96,510.68,495.24,528.63,596.58,597.65,518.04,433.43,357.83
Portugal,990.76,977.56,876.12,835.97,838.56,961.31,931.61,898.11,931.9,972.62,907.31,875.2,834.96
Romania,269.18,222.75,201.76,196.28,211.49,190.53,226.38,240.55,235.3,284.44,290.78,836.55,555.77
Slovak Republic,538.41,702.38,350.85,607.14,600.61,548.63,514.07,452.46,415.88,384.77,382.12,342.4,443.97
Slovenia,1291.2,1455.05,1477.02,1631.41,1455.1,1387.92,1369.69,1408.59,1489.88,1643.58,1692.25,1457.02,1102.67
Spain,–,–,–,–,304.94,317.19,301.87,310.33,332.11,354.43,351.87,335.61,446.1
Sweden,4350.79,4283.42,4925.99,4571.54,4465.86,4245.77,4143.84,3921.91,4021.81,3976.48,3979.93,3971.8,3815.46
United Kingdom,3022.48,2668.27,2529.21,2357.75,2162.13,2174.66,2045.96,2003.91,2014.29,1830.79,1835,1743.95,–
Founding Fathers,2836.19,2758.076,2536.864,2283.62666666667,2219.29166666667,2147.52333333333,2087.16833333333,2075.79333333333,2178.25833333333,2164.15166666667,2182.92,2106.60333333333,2035.688
Central Europe,948.2575,1304.836,1190.616,1256.878,1192.884,1122.52,1095.496,1117.378,1115.484,1143.97,1129.552,1008.768,883.8525
