Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,30326,29809,26705,27362,27174,24564,24538,26402,32223,36822,38403,40635,46856,51709,47963,46858,51375,48568,50717,51705,44207,44731,47291
Belgium,28566,27702,25028,25542,25444,23207,23122,25052,30744,35590,36967,38852,44404,48425,44881,44380,47703,44741,46583,47352,40361,41261,43324
Bulgaria,1554,1209,1347,1772,1644,1610,1757,2077,2699,3364,3870,4490,5886,7262,6970,6843,7814,7378,7675,7853,6993,7469,8032
Croatia,4795,5269,5210,5650,5135,4920,5245,6054,7806,9366,10224,11363,13547,15894,14157,13543,14571,13255,13649,13597,11758,12299,13295
Cyprus,15098,14969,14304,15247,15458,14673,15063,16372,20293,23932,25324,27170,31387,35391,32106,30818,32234,28985,27942,27401,23212,23667,25234
Czech Republic,5788,6494,5997,6459,6308,6012,6609,8033,9773,11686,13346,15184,18374,22699,19742,19808,21717,19730,19916,19745,17716,18484,20368
Denmark,35351,35651,32836,33368,33441,30744,30752,33229,40459,46512,48800,52027,58487,64322,58163,58041,61754,58508,61191,62549,53013,53579,56308
Estonia,3044,3353,3620,4052,4119,4070,4499,5308,7174,8850,10338,12595,16586,18095,14726,14639,17455,17422,19072,19950,17156,17737,19705
Finland,26273,25778,24676,25989,26179,24253,24913,26834,32816,37636,38969,41121,48289,53401,47107,46202,50791,47416,49638,49915,42424,43433,45703
France,26890,26872,24229,24974,24673,22364,22434,24177,29568,33741,34760,36444,41508,45334,41575,40638,43791,40875,42593,43009,36613,36870,38477
Germany,31730,30564,27046,27341,26796,23719,23687,25205,30360,34166,34697,36448,41815,45699,41733,41786,46810,44065,46531,48043,41324,42233,44470
Greece,12959,13749,13428,13472,13245,12043,12538,14110,18478,21955,22552,24801,28827,31997,29711,26918,25916,22243,21875,21761,18071,17882,18613
Hungary,4494,4525,4596,4750,4803,4633,5283,6666,8423,10296,11206,11448,13908,15740,13030,13092,14118,12888,13668,14201,12484,12820,14225
Ireland,19181,20861,22543,24263,26284,26242,28227,32540,41107,47631,50879,54307,61360,61258,52104,48672,52186,49042,51773,55413,61808,64100,69331
Italy,20596,23020,21780,22252,21937,20051,20401,22197,27387,31175,31959,33411,37699,40640,36977,35849,38335,34814,35370,35397,30180,30669,31953
Latvia,2329,2430,2682,2977,3151,3353,3573,4132,5135,6351,7559,9668,14044,16349,12219,11326,13703,13823,15032,15716,13640,14070,15594
Lithuania,2169,2328,2831,3167,3114,3297,3530,4147,5506,6707,7863,9241,12298,14962,11837,11985,14358,14341,15694,16545,14289,14913,16681
Luxembourg,52831,52572,47042,47584,51654,48736,48179,52931,65446,75716,80290,89740,106018,114294,103199,104965,115762,106749,113625,119225,101447,100739,104103
Malta,9114,9398,9680,10184,10649,11039,11022,11844,13690,15109,15835,16672,19376,21929,20676,21088,22840,21926,23817,25852,23759,24771,26946
Netherlands,28885,28699,26405,27534,27952,25921,26584,28817,35245,39955,41577,44454,51241,56929,51900,50338,53541,49475,51574,52157,44746,45638,48223
Poland,3683,4141,4117,4510,4390,4493,4981,5197,5693,6681,8021,9039,11255,14001,11528,12600,13894,13146,13781,14342,12566,12415,13812
Portugal,11783,12185,11578,12203,12475,11502,11729,12882,15773,18046,18785,19821,22780,24816,23064,22539,23196,20577,21619,22078,19253,19872,21136
Romania,1660,1644,1589,1865,1610,1668,1840,2125,2775,3553,4676,5829,8425,10401,8475,8231,9151,8558,9585,10020,8978,9532,10814
Slovak Republic,4799,5178,5138,5534,5637,5403,5708,6525,8697,10655,11669,13139,16058,18650,16513,16601,18187,17275,18192,18630,16133,16530,17605
Slovenia,10691,10801,10448,11165,11442,10228,10479,11814,14880,17261,18169,19726,23841,27502,24634,23437,24985,22532,23358,24202,20873,21650,23597
Spain,15430,16069,14696,15340,15678,14677,15324,17020,21496,24919,26511,28483,32709,35579,32334,30737,31835,28564,29212,29623,25790,26617,28157
Sweden,29914,32587,29898,30144,30577,29283,26969,29572,36961,42442,43085,46256,53324,55747,46207,52076,59593,57134,60283,59180,50812,51845,53442
United Kingdom,23013,24220,26621,28015,28384,27982,27428,29786,34174,39984,41733,44252,50134,46768,38262,38893,41412,41791,42724,46783,44306,40412,39720
European Union,16533.7857142857,16859.8928571429,15931.0714285714,16525.5357142857,16762.6071428571,15738.8214285714,15943.3571428571,17537.4285714286,21599.3214285714,25003.6071428571,26359.5357142857,28450.5714285714,33229.8571428571,36278.3214285714,32206.8928571429,31889.3928571429,34608.1071428571,32350.75,33810.3214285714,34723,30496.8571428571,30937.0714285714,32719.9642857143
,,,,,,,,,,,,,,,,,,,,,,,
Founding Fathers,31583,31571.5,28588.3333333333,29204.5,29742.6666666667,27333,27401.1666666667,29729.8333333333,36458.3333333333,41723.8333333333,43375,46558.1666666667,53780.8333333333,58553.5,53377.5,52992.6666666667,57657,53453.1666666667,56046,57530.5,49111.8333333333,49568.3333333333,51758.3333333333
Central Europe,9963.5,10158,9500.16666666667,9963.33333333334,9959,9222.16666666667,9599.66666666667,10772.8333333333,13281.5,15566.8333333333,16802.3333333333,18195.1666666667,21715.3333333333,25050.1666666667,22235,22066,24046,22356.5,23272,23804.1666666667,20663.1666666667,21105,22816.3333333333
